page_name,STEMMESEDDELNAVN
Kenneth Mikkelsen,Kenneth Mikkelsen
Jan Johansen,Jan Johansen
Brigitte Klintskov Jerkel,Brigitte Klintskov Jerkel
Ruben Kidde,Ruben Kidde
Lene Dalsgaard,Lene Dalsgaard
Sinem Demir,Sinem Demir
Ulla Tørnæs,Ulla Tørnæs
Mikkel Dencker,Mikkel Dencker
Eva Jørgensen - Dansk Folkeparti - Fyn,Eva Jørgensen
Niels Flemming Hansen,Niels Flemming Hansen
Petar Socevic,Petar Socevic
Lars Arne Christensen,Lars Arne Christensen
Jeanné Vetling - Radikale Venstre,Jeanné Vetling
Lars Boje Mathiesen,Lars Boje Mathiesen
Iben Høiaas Jeppesen,Iben Høiaas Jeppesen
Ali Aminali,Ali Aminali
Joachim Hjorting,Joachim Hjorting
Mikkel Holm-Pedersen - Folketingskandidat for Alternativet på Fyn,Mikkel Holm-Pedersen
Anders Stjernholm,Anders Stjernholm
Thomas Anker Alternativet,Thomas Anker
Susanne Eilersen,Susanne Eilersen
John Rasmussen - Liberal Alliance,John Rasmussen
Per Larsen i Folketinget,Per Larsen
Mads Andersen,Mads Andersen
Allon Hein Sørensen,Allon Hein Sørensen
Samira Nawa,Samira Nawa
Frederik Bloch Münster,Frederik Bloch Münster
Mark Grossmann,Mark Grossmann
"Jan Bjergskov Larsen, SF Folketingskandidat",Jan Bjergskov Larsen
Iben Sønderup,Iben Sønderup
Lise Müller,Lise Müller
Lise Bech - Dansk Folkeparti,Lise Bech
Jacob Høfler,Jacob Høfler
Colette Brix,Colette Brix
Martin Nordstjerne Rasmussen - Partiet Klaus Riskær Pedersen - liste E,Martin Nordstjerne Rasmussen
Katarina Ammitzbøll,Katarina Ammitzbøll
Line Mørk,Line Mørk
Marie Høgh  - konservativ folketingskandidat i Københavns storkreds,Marie Høgh
Christian Juhl,Christian Juhl
Steffen Mølgaard,Steffen Mølgaard
Anders Krojgaard Lund,Anders Krojgaard Lund
Camilla Kampmann,Camilla Kampmann
Flemming Andersen,Flemming Andersen
Birgitte Vinds side,Birgitte Vind
Lars Berg Andersen,Lars Berg Andersen
Niels Rosenberg,Niels Rosenberg
Eva Kjer Hansen,Eva Kjer Hansen
Shahzad Riaz - Folketingskandidat,Shahzad Riaz
Josh Bjørkman Nye Borgerlige Slagelse,Josh Bjørkman
Morten Siig Henriksen,Morten Siig Henriksen
Ole Revsgaard Andersen,Ole Revsgaard Andersen
Peter Hjorth,Peter Hjorth
Erik Christensen,Erik Christensen
Christian Poll,Christian Poll
Karsten Hønge,Karsten Hønge
Henrik Vinther,Henrik Vinther
Stén Knuth,Stén Knuth
Jesper Wienmann Hansen,Jesper Wienmann Hansen
Charlotte Bisserup Bechfeldt,Charlotte Bisserup Bechfeldt
Per Møller,Per Møller
Rasmus Brandstrup Larsen,Rasmus Brandstrup Larsen
Kasper Nordborg Kiær,Kasper Nordborg Kiær
Daniel Toft Jakobsen,Daniel Toft Jakobsen
Fatma Øktem,Fatma Øktem
"Marianne Karlsmose, KD-politiker",Marianne Karlsmose
Araz Khan,Araz Khan
"Susan Kjeldgaard, Alternativet",Susan Kjeldgaard
Rasmus Peter Henriksen,Rasmus Peter Henriksen
Jacob Jensen,Jacob Jensen
Hans Henrik Sørensen,Hans Henrik Sørensen
Jacob Rosenberg,Jacob Rosenberg
Marie Bjerre,Marie Bjerre
Otto B. Christiansen,Otto B. Christiansen
Sascha Faxe,Sascha Faxe
"Lars-Christian Brask, Venstre",Lars-Christian Brask
Jacob Netteberg,Jacob Netteberg
Torbjørn Fristed - Dansk Folkeparti,Torbjørn Fristed
Jakob Kjærsgaard - Dansk Folkeparti,Jakob Kjærsgaard
Lasse Vogel Andersen,Lasse Vogel Andersen
Per Frost Henriksen,Per Frost Henriksen
Trine Torp,Trine Torp
Camilla Hersom - offentlig,Camilla Hersom
Martin Henriksen,Martin Henriksen
Jørn Rasmussen,Jørn Rasmussen
Mette Rahbek - din fynske Å-kandidat,Mette Rahbek
Ellen Trane Nørby,Ellen Trane Nørby
Theresa Scavenius,Theresa Scavenius
May-Britt Kattrup,May-Britt Kattrup
Rasmus Stoklund,Rasmus Stoklund
Hanne Roed,Hanne Roed
Bertel Haarder,Bertel Haarder
Bo Sand Kristensen - Folketingskandidat Dansk Folkeparti,Bo Sand Kristensen
Kristian Guldfeldt,Kristian Guldfeldt
